time_s,temperature,target
0.0,19.4,240.0
1.0,19.3,240.0
2.0,19.4,240.0
3.0,19.6,240.0
3.9,19.4,240.0
4.9,19.7,240.0
5.9,20.3,240.0
6.9,21.0,240.0
7.9,21.6,240.0
8.9,23.0,240.0
9.9,24.3,240.0
10.9,25.9,240.0
11.9,28.0,240.0
12.9,30.1,240.0
13.9,32.4,240.0
14.9,35.1,240.0
15.9,37.9,240.0
16.9,40.8,240.0
17.9,43.5,240.0
18.9,46.6,240.0
19.9,49.6,240.0
20.9,52.8,240.0
21.9,55.6,240.0
23.0,58.5,240.0
24.0,61.6,240.0
25.0,64.4,240.0
26.0,67.7,240.0
27.0,70.5,240.0
28.0,73.5,240.0
29.0,76.5,240.0
30.0,79.4,240.0
31.0,82.4,240.0
32.0,85.3,240.0
33.0,88.1,240.0
34.0,91.0,240.0
35.0,93.7,240.0
36.0,96.5,240.0
37.0,99.1,240.0
38.0,101.9,240.0
39.0,104.5,240.0
40.0,107.0,240.0
41.0,109.5,240.0
42.0,112.1,240.0
43.0,114.5,240.0
44.0,116.7,240.0
45.0,119.1,240.0
46.0,121.3,240.0
47.0,123.6,240.0
48.0,125.7,240.0
48.9,127.8,240.0
49.9,130.0,240.0
50.9,132.0,240.0
51.9,134.2,240.0
52.9,136.1,240.0
53.9,138.1,240.0
54.9,140.1,240.0
55.9,142.1,240.0
56.9,144.0,240.0
57.9,145.9,240.0
58.9,148.0,240.0
59.9,149.6,240.0
60.9,151.8,240.0
61.9,153.5,240.0
62.9,155.1,240.0
63.9,156.9,240.0
64.9,158.5,240.0
65.9,160.6,240.0
66.9,162.5,240.0
68.0,164.1,240.0
69.0,165.7,240.0
70.0,167.3,240.0
71.0,169.3,240.0
72.0,170.8,240.0
73.0,172.0,240.0
74.0,173.4,240.0
75.0,175.8,240.0
76.0,177.0,240.0
77.0,178.5,240.0
78.0,179.9,240.0
79.0,181.2,240.0
80.0,182.5,240.0
81.0,183.9,240.0
82.0,185.6,240.0
83.0,187.3,240.0
84.0,188.7,240.0
85.0,189.6,240.0
86.0,191.1,240.0
87.0,192.3,240.0
88.0,193.2,240.0
89.0,195.1,240.0
90.0,196.3,240.0
91.0,197.3,240.0
92.0,198.9,240.0
93.0,200.2,240.0
93.9,201.5,240.0
94.9,202.6,240.0
95.9,203.5,240.0
96.9,204.6,240.0
97.9,206.1,240.0
98.9,207.3,240.0
99.9,208.3,240.0
100.9,208.6,240.0
101.9,209.5,240.0
102.9,210.8,240.0
103.9,212.2,240.0
104.9,213.5,240.0
105.9,214.6,240.0
106.9,216.0,240.0
107.9,217.1,240.0
108.9,218.2,240.0
109.9,219.0,240.0
110.9,219.7,240.0
111.9,220.1,240.0
113.0,221.3,240.0
114.0,222.1,240.0
115.0,222.9,240.0
116.0,223.3,240.0
117.0,223.8,240.0
118.0,224.2,240.0
119.0,225.5,240.0
120.0,225.9,240.0
121.0,225.9,240.0
122.0,226.3,240.0
123.0,227.2,240.0
124.0,228.1,240.0
125.0,229.0,240.0
126.0,230.0,240.0
127.0,230.0,240.0
128.0,230.4,240.0
129.0,230.9,240.0
130.0,231.9,240.0
131.0,231.9,240.0
132.0,233.3,240.0
133.0,233.3,240.0
134.0,232.8,240.0
