time_s,temperature,target
0.0,147.3,230.0
1.0,145.7,230.0
2.0,144.3,230.0
3.0,143.0,230.0
4.0,141.7,230.0
5.0,140.2,230.0
6.0,139.7,230.0
7.0,139.1,230.0
7.9,139.1,230.0
8.9,139.1,230.0
9.9,139.4,230.0
10.9,140.0,230.0
11.9,140.9,230.0
12.9,142.0,230.0
13.9,143.3,230.0
14.9,144.4,230.0
15.9,145.7,230.0
16.9,147.3,230.0
17.9,149.0,230.0
18.9,150.5,230.0
19.9,152.7,230.0
20.9,154.2,230.0
21.9,155.7,230.0
23.0,157.6,230.0
24.0,159.8,230.0
25.0,161.5,230.0
26.0,163.6,230.0
27.0,165.1,230.0
28.0,167.2,230.0
29.0,168.7,230.0
30.0,170.8,230.0
31.0,172.5,230.0
32.0,174.5,230.0
33.0,176.1,230.0
34.0,177.8,230.0
35.0,179.6,230.0
36.0,180.8,230.0
37.0,182.7,230.0
38.0,185.2,230.0
39.0,186.9,230.0
40.0,188.5,230.0
41.0,190.0,230.0
42.0,191.6,230.0
43.0,193.2,230.0
44.0,194.6,230.0
45.0,196.6,230.0
46.0,198.6,230.0
47.0,200.2,230.0
48.0,201.5,230.0
49.0,203.5,230.0
50.0,204.4,230.0
51.0,206.4,230.0
52.0,207.3,230.0
52.9,208.9,230.0
53.9,210.8,230.0
54.9,211.8,230.0
55.9,213.2,230.0
56.9,215.6,230.0
57.9,217.1,230.0
58.9,217.8,230.0
59.9,219.0,230.0
60.9,220.9,230.0
61.9,222.1,230.0
62.9,223.3,230.0
63.9,224.2,230.0
64.9,225.0,230.0
65.9,227.2,230.0
66.9,228.1,230.0
68.0,228.6,230.0
69.0,230.0,230.0
70.0,230.4,230.0
71.0,231.4,230.0
72.0,232.8,230.0
73.0,233.8,230.0
74.0,234.9,230.0
75.0,235.4,230.0
76.0,236.4,230.0
77.0,236.4,230.0
78.0,237.5,230.0
79.0,238.0,230.0
80.0,238.0,230.0
81.0,238.0,230.0
82.0,238.6,230.0
83.0,240.2,230.0
84.0,240.8,0.0
85.0,242.5,0.0
86.0,243.1,0.0
